VAR00002,VAR00003,¼ºº°,ÇÐ·Â,°áÈ¥¿©ºÎ,ÀÚ³à¿©ºÎ,°ÅÁÖÇüÅÂ,Á¾±³,Å°¿î±â°£,¹Ý·Áµ¿¹°³ªÀÌ,»ó½ÇÈÄ°æ°ú±â°£,»ó½ÇÈÄ°æ°ú½Ã°£,¹Ý·Áµ¿¹°Á¾·ù,¹Ý·Áµ¿¹°Ä£¹Ðµµ,»ó½Ç¿¹Ãø°¡´É¼º,»ó½Ç¿øÀÎ,µÎ¹øÂ°»ó½Ç¿øÀÎ¼ýÀÚ,Ltotal,¾È¶ô»çÀÌÀ¯,ÀÓÁ¾½Ãµ¿Çà¿©ºÎ,¹Ý·Áµ¿¹°°ü°è,Á¤½Å°úÁø·á,±×³ÉÁ¤½Å°úÁø·á,Áø·á³»¿ë,ÁöÁöÀÚ¿ø,ÀÌÀü»ó½Ç°æÇè,»ó½Ç¸¶¸®¼ö,ÇÊÅÍ¸µ¼öµµÁú¹®,´Ù¸¥¹Ý·Áµ¿¹°¼ýÀÚ,´Ù¸¥µ¿¹°º¸À¯¿©ºÎ,º¸À¯¸¶¸®¼ö,»õ·Î¿îÀÔ¾ç¿©ºÎ,L1,L2,L3,L4,L5,L6,L7,L8,L9,L10,L11,L12,L13,L14,L15,L16,L17,L18,L19,L20,L21,S1,S2,S3,S4,S5,S6,S7,S8,S9,S10,S11,S12,S13,S14,S15,C1,C2,C3,C4,C5,C6,C7,C8,C9,C10,C11,C12,C13,C14,C15,C16,C17,C18,C19,ÇÊÅÍ¸µ1,C20,C21,C22,C23,C24,C25,C26,C27,C28,C29,C30,C31,C32,C33,G12,G1,G2,G3,G4,G5,G6,G7,G8,G9,G10,G11,Âü°¡ÀÚÁ¦°Å,Stotal,SxL,filter_$,Ctotal,Gtotal,Ä£¹Ðµµ¼ýÀÚ1,¼ºº°¼ýÀÚ,¿¹Ãø°¡´É¼º¼ýÀÚ,ÇÐ·Â¼ýÀÚ,°áÈ¥¿©ºÎ¼ýÀÚ,ÀÚ³à¿©ºÎ¼ýÀÚ,°ÅÁÖÇüÅÂ¼ýÀÚ,Á¾±³¼ýÀÚ,ÁöÁöÀÚ¿ø¼ýÀÚ,ÀÓÁ¾½Ãµ¿Çà¼ýÀÚ,¹Ý·Áµ¿¹°Á¾·ù¼ýÀÚ,»ó½Ç¿øÀÎ¼ýÀÚ,¹Ý·ÁÁ¤½Å°ú¼ýÀÚ,±×³ÉÁ¤½Å°ú¼ýÀÚ,»õÀÔ¾ç¼ýÀÚ,Lmd,Smd,LmdxSmd,¹Ý·Áµ¿¹°°ü°è¼ýÀÚ,ÀÌÀü»ó½Ç¼ýÀÚ,»ó½ÇÀÇÃæ°Ý°úÈ¥¶õ,»ó½ÇÀÇ°íÅë1,º¹ÇÕºÐ¸®°íÅë,º¹ÇÕ¿Ü»ó°íÅë,Ãæ°ÝLmd,°íÅë1md,°íÅë1mdxSmd,Ãæ°ÝLmdxSmd,¿¬·É´ë,Ctotalrr,°áÈ¥2,ÂðºÐ¸®°íÅë,Âð¿Ü»ó°íÅë
2020/01/03 1:29:02 ¿ÀÈÄ GMT+,¿,³²,°íµîÇÐ±,¹Ì,¾øÀ,°¡Á·°ú ÇÔ,¹«±,1,1,2,2,°³,¸Å¿ì Ä£,"2, °©ÀÛ½º·",±Þ¼º,2,49, ,¾Æ´,Ä£±¸,¾Æ´,¾Æ´, ,Ä£±¸,¾øÀ, ,1,2,¾Æ´, ,¾Æ´,3,3,3,2,3,3,3,2,3,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,2,1,1,2,1,1,1,1,0°³¿ù,1,¾Æ´,3,3,3,3,3,3,3,3,4,3,4,4,1,17,833,1,33,39,5,1,2,1,1,1,2,1,2,1,1,2,1,1,1,-15.5512,-14.9122,231.90260464,2,2,23,24,19,14,-9.8293,-3.6439,54.33856558,146.57648746,2,33,1,5,14
2020/01/17 11:16:43 ¿ÀÈÄ GMT,¿,³²,°íµîÇÐ±,¹Ì,¾øÀ,°¡Á·°ú ÇÔ,¹«±,8,8,1,1,°³,¸Å¿ì Ä£,"4, ¿¹»ó°¡´",±Þ¼º,2,41, ,¾Æ´,Ä£±¸,¾Æ´,¾Æ´, ,ºÎ¸ð,¾øÀ, ,1,2,¾Æ´, ,¾Æ´,4,2,2,2,4,2,4,2,4,2,1,1,1,1,1,2,2,1,1,1,1,3,2,1,1,1,1,2,1,1,3,2,3,3,2,2,1,1,1,1,1,1,1,1,2,2,2,2,2,2,3,2,1,1,1,1,2,2,1,1,2,2,1,1,1,1,1,0°³¿ù,1,¾Æ´,4,3,3,3,4,3,4,4,4,3,4,4,1,28,1148,1,43,43,5,1,1,1,1,1,2,1,2,1,1,2,1,1,1,-23.5512,-3.9122,92.1370046399999,2,2,24,15,26,17,-8.8293,-12.6439,49.46546558,34.54198746,2,43,1,5,17
2020/01/23 10:03:38 ¿ÀÈÄ GMT,¿,³²,°íµîÇÐ±,¹Ì,¾øÀ,°¡Á·°ú ÇÔ,¹«±,2,2,1,1,°³,¸Å¿ì Ä£,"2, °©ÀÛ½º·",±Þ¼º,2,63, ,¿¹,Ä£±¸,¾Æ´,¾Æ´, ,ºÎ¸ð,¾øÀ, ,1,2,¾Æ´, ,¾Æ´,4,3,3,4,4,4,3,4,3,4,3,4,2,1,1,2,3,3,3,3,2,2,2,2,2,3,2,2,2,3,3,3,3,3,2,2,3,2,3,2,4,5,4,3,5,3,2,2,3,3,3,4,4,3,4,1,2,4,3,4,4,4,2,2,3,2,2,0°³¿ù,2,¿¹,3,5,3,3,5,4,3,4,4,3,5,4,1,36,2268,1,91,46,5,1,2,1,1,1,2,1,2,2,1,2,1,1,1,-1.55119999999999,4.0878,-6.34099535999998,2,2,28,31,49,45,-4.8293,3.3561,13.71906558,-19.74121254,2,94,1,17,40
2019/12/26 11:07:59 ¿ÀÀü GMT,¿,³²,°íµîÇÐ±,¹Ì,¾øÀ,°¡Á·°ú ÇÔ,±âµ,2,0,2,3,°³,¸Å¿ì Ä£,"2, °©ÀÛ½º·",»ç°í,3,54, ,¾Æ´,Ä£±¸,¾Æ´,¾Æ´, ,"ºÎ¸ð;ÇüÁ¦, ÀÚ¸Å,³²¸Å",¾øÀ, ,1,2,¾Æ´, ,¾Æ´,4,4,4,5,5,4,4,5,5,2,1,1,1,1,1,1,1,1,1,1,2,2,1,1,1,1,1,1,1,3,4,3,1,1,2,1,2,1,1,1,4,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,5,1,3,2,1,4,1,1,1,1,1,0°³¿ù,2,¾Æ´,4,5,5,5,5,5,4,4,5,3,4,5,1,24,1296,1,45,54,5,1,2,1,1,1,2,2,2,1,1,3,1,1,1,-10.5512,-7.9122,83.4832046399999,2,2,35,14,18,27,2.1707,-13.6439,107.95326558,-17.17501254,2,45,1,10,14
2019/12/26 7:30:17 ¿ÀÈÄ GMT+,¿,³²,´ëÇÐ±³,¹Ì,¾øÀ,°¡Á·°ú ÇÔ,¹«±,5,6,1,1,°³,¸Å¿ì Ä£,"2, °©ÀÛ½º·",»ç°í,3,37, ,¾Æ´,Ä£±¸,¾Æ´,¾Æ´, ,"ºÎ¸ð;ÇüÁ¦, ÀÚ¸Å,³²¸Å",¾øÀ, ,1,2,¾Æ´, ,¾Æ´,4,1,3,3,4,4,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,5,1,3,3,1,3,1,1,1,3,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,0,1,¾Æ´,4,3,3,3,4,3,4,4,4,4,4,4,1,17,629,1,43,44,5,1,2,2,1,1,2,1,2,1,1,3,1,1,1,-27.5512,-14.9122,410.84900464,2,2,24,12,24,19,-8.8293,-15.6439,233.28496558,131.66428746,2,43,1,7,22
2019/12/25 2:29:11 ¿ÀÈÄ GMT+,¿,³²,´ëÇÐ±³,¹Ì,¾øÀ,°¡Á·°ú ÇÔ,¹«±,22,24,1,1,°³,¸Å¿ì Ä£,"4, ¿¹»ó°¡´",³ëÈ­,4,38, ,¾Æ´,ÇüÁ¦/ÀÚ¸,¾Æ´,¾Æ´, ,ºÎ¸ð;Ä£±¸,¾øÀ, ,1,2,¾Æ´, ,¾Æ´,4,1,1,1,2,5,4,2,5,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,2,2,1,1,1,1,1,1,1,1,3,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,4,1,3,1,1,1,1,1,1,1,1,0°³¿ù,3,¾Æ´,3,3,5,3,3,4,3,4,4,1,4,4,1,17,646,1,38,41,5,1,1,2,1,1,2,1,2,1,1,4,1,1,1,-26.5512,-14.9122,395.93680464,3,2,23,13,18,20,-9.8293,-14.6439,218.37276558,146.57648746,3,38,1,10,12
2020/01/18 6:37:00 ¿ÀÈÄ GMT+,¿,³²,´ëÇÐ±³,¹Ì,¾øÀ,°¡Á·°ú ÇÔ,¹«±,15,15,2,3,°³,¸Å¿ì Ä£,"4, ¿¹»ó°¡´",³ëÈ­¿,4,42, ,¿¹,ÇüÁ¦/ÀÚ¸,¾Æ´,¾Æ´, ,"ÇüÁ¦, ÀÚ¸Å,³²¸Å;Ä£±¸",¾øÀ, ,1,2,¾Æ´, ,¾Æ´,5,1,1,1,5,5,5,3,4,1,1,1,1,1,1,1,1,1,1,1,1,3,1,1,1,1,1,1,1,1,3,1,1,1,1,1,1,1,1,1,3,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,4,1,1,1,1,1,1,1,1,1,1,0°³¿ù,1,¾Æ´,3,1,1,1,3,1,1,3,3,1,3,1,1,19,798,1,38,22,5,1,1,2,1,1,2,1,2,2,1,4,1,1,1,-22.5512,-12.9122,291.18560464,3,2,27,12,18,20,-5.8293,-15.6439,201.99716558,75.26908746,3,38,1,10,12
2020/01/19 2:13:20 ¿ÀÀü GMT+,¿,³²,´ëÇÐ±³,±â,¾øÀ,°¡Á·°ú ÇÔ,±âµ,12,13,2,2,°³,¸Å¿ì Ä£,"4, ¿¹»ó°¡´",³ëÈ­,4,46, ,¿¹,ÇüÁ¦/ÀÚ¸,¾Æ´,¾Æ´, ,¾øÀ½,ÀÖÀ,1¸¶,1,2,¾Æ´, ,¾Æ´,4,2,2,2,2,5,5,3,5,2,1,1,1,1,2,1,1,3,1,1,1,1,1,1,1,1,1,1,1,1,3,1,1,3,1,1,1,1,1,1,4,4,2,1,1,1,1,1,1,1,1,1,2,1,5,1,5,1,2,1,3,3,1,1,1,1,1,0,6,¾Æ´,3,1,3,1,1,1,1,1,5,1,5,5,1,19,874,1,47,28,5,1,1,2,2,1,2,2,1,2,1,4,1,1,1,-18.5512,-12.9122,239.53680464,3,1,27,16,19,32,-5.8293,-11.6439,150.34836558,75.26908746,3,51,2,12,18
2020/01/23 8:39:32 ¿ÀÈÄ GMT+,¿,³²,´ëÇÐ±³,»ç,ÀÖÀ,°¡Á·°ú ÇÔ,¹«±,19,19,2,2,°³,¸Å¿ì Ä£,"2, °©ÀÛ½º·",³ëÈ­,4,72, ,¾Æ´,ÇüÁ¦/ÀÚ¸,¾Æ´,¾Æ´, ,ºÎ¸ð;³²Æí,¾øÀ, ,1,2,¾Æ´, ,¾Æ´,5,4,4,4,5,5,5,5,4,3,3,3,1,2,3,2,2,3,2,2,5,2,3,2,2,2,2,3,2,3,2,3,2,3,3,3,4,4,4,4,5,4,4,5,4,2,3,2,4,4,2,5,2,2,5,1,3,3,5,4,4,3,2,2,2,3,4,0°³¿ù,24,¾Æ´,2,2,2,3,2,2,2,2,2,2,2,3,1,37,2664,1,100,26,5,1,2,2,3,2,2,1,2,1,1,4,1,1,1,7.44880000000001,5.0878,37.89800464,3,2,36,31,55,49,3.1707,3.3561,17.07516558,16.13188746,2,104,1,22,44
2019/12/20 12:34:20 ¿ÀÈÄ GMT,¿,³²,°íµîÇÐ±,¹Ì,¾øÀ,°¡Á·°ú ÇÔ,±âµ,13,14,2,4,°³,¸Å¿ì Ä£,"4, ¿¹»ó°¡´",³ëÈ­,4,48, ,¾Æ´,ÇüÁ¦/ÀÚ¸,¾Æ´,¾Æ´, ,ºÎ¸ð,¾øÀ, ,1,2,¾Æ´, ,¾Æ´,4,4,3,3,4,4,4,4,3,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,0,1,¾Æ´,3,3,3,3,3,3,3,3,3,3,4,3,2,15,720,0,33,37,5,1,1,1,1,1,2,2,2,1,1,4,1,1,1,-16.5512,-16.9122,279.91720464,3,2,29,15,18,15,-3.8293,-12.6439,213.83616558,64.7618874600001, ,33,1,7,12
2020/01/11 6:27:19 ¿ÀÈÄ GMT+,¿,¿©,´ëÇÐ±³,¹Ì,¾øÀ,È¥ÀÚ °ÅÁÖ,¹«±,10,10,2,9,°³,¸Å¿ì Ä£,"2, °©ÀÛ½º·",¸¸¼º,1,74, ,¾Æ´,Ä£±¸,¾Æ´,¾Æ´, ,ºÎ¸ð;Ä£±¸;´Ù¸¥ ¹Ý·Áµ,ÀÖÀ,1¸¶,1,1,¿¹,4¸¶,¿¹,5,4,4,4,5,5,5,4,5,2,2,2,1,2,3,4,3,4,2,4,4,3,3,2,3,3,2,3,3,3,4,3,2,3,2,2,2,3,4,3,5,4,4,3,2,2,2,2,4,4,4,4,4,2,4,1,4,4,4,4,4,2,2,2,3,4,3,0°³¿ùÈ,24,¿¹,3,3,4,4,4,4,4,4,4,2,4,3,1,41,3034,1,95,43,5,2,2,2,1,1,1,1,2,1,1,1,1,1,2,9.44880000000001,9.0878,85.8688046400001,2,1,37,33,55,43,4.1707,5.3561,48.67516558,37.90248746,3,98,1,20,40
2020/01/17 11:40:06 ¿ÀÈÄ GMT,¿,¿©,´ëÇÐ±³,¹Ì,¾øÀ,È¥ÀÚ °ÅÁÖ,¹«±,13,14,1,1,°³,¸Å¿ì Ä£,"4, ¿¹»ó°¡´",¸¸¼º,1,87, ,¾Æ´,ºÎ¸ð-ÀÚ³,¿¹,¾Æ´, ,ºÎ¸ð;´Ù¸¥ ¹Ý·Áµ¿¹°,¾øÀ, ,1,1,¿¹,1¸¶,¿¹,5,5,5,4,5,5,5,4,5,3,4,4,2,5,2,4,3,5,4,4,4,3,3,1,2,1,1,1,1,3,3,1,1,1,1,1,4,3,3,4,4,5,4,4,4,2,2,2,5,3,1,1,3,3,4,1,4,2,5,5,5,5,5,2,1,3,4,0°³¿ùÈ,6,¾Æ´,3,2,2,2,2,2,2,2,3,5,5,3,1,24,2088,1,99,33,5,2,1,2,1,1,1,1,2,1,1,1,2,1,2,22.4488,-7.9122,-177.61939536,1,2,39,44,50,52,6.1707,16.3561,-129.41273442,-48.82381254,2,102,1,20,45
2020/01/18 6:13:45 ¿ÀÈÄ GMT+,¿,¿©,´ëÇÐ±³,¹Ì,¾øÀ,È¥ÀÚ °ÅÁÖ,ºÒ±,5,8,2,2,°í¾,Á¶±Ý Ä£,"2, °©ÀÛ½º·",¸¸¼º,1,65, ,¾Æ´,ºÎ¸ð-ÀÚ³,¾Æ´,¾Æ´, ,ºÎ¸ð;Ä£±¸;¿Â¶óÀÎ Ä¿¹,¾øÀ, ,1,1,¿¹,1¸¶,¾Æ´,5,2,1,1,1,5,5,5,5,2,2,4,3,2,1,4,2,4,3,4,4,1,4,1,3,2,1,4,2,2,3,1,1,1,1,2,5,5,5,4,5,5,5,2,1,4,5,4,5,5,1,1,2,3,4,1,5,3,4,4,4,5,4,4,4,5,2,0°³¿ù,3,¿¹,4,2,2,2,2,1,1,1,1,4,2,1,1,29,1885,1,112,23,4,2,2,2,1,1,1,2,2,1,2,1,1,1,1,.448800000000006,-2.9122,-1.30699536000002,1,2,25,35,63,52,-7.8293,7.3561,-21.42243442,22.80048746,2,115,1,24,44
2019/12/31 10:00:32 ¿ÀÈÄ GMT,¿,¿©,´ëÇÐ±³,¹Ì,¾øÀ,È¥ÀÚ °ÅÁÖ,ÃµÁ,6,14,2,3,°³,¸Å¿ì Ä£,"4, ¿¹»ó°¡´",¸¸¼º,1,68, ,¾Æ´,ºÎ¸ð-ÀÚ³,¾Æ´,¿¹, ,Ä£±¸;´Ù¸¥ ¹Ý·Áµ¿¹°,¾øÀ, ,1,1,¿¹,1¸¶,¾Æ´,5,5,4,2,5,5,5,5,3,3,3,3,2,2,2,4,1,2,2,3,2,1,2,1,1,2,2,2,2,1,2,2,1,1,1,1,3,2,3,2,5,5,2,2,2,1,1,1,3,3,1,1,1,1,3,1,1,2,4,4,3,2,1,1,1,2,2,0,9999,¾Æ´,3,1,1,2,2,2,2,2,2,2,2,2,1,22,1496,1,63,23,5,2,1,2,1,1,1,2,2,1,1,1,1,2,1,3.44880000000001,-9.9122,-34.1851953600001,1,2,34,29,28,37,1.1707,1.3561,-13.44193442,-11.60421254,4,65,1,19,26
2020/01/13 7:26:48 ¿ÀÀü GMT+,¿,¿©,°íµîÇÐ±,ÀÌ,¾øÀ,µÎ¸¶¸®ÀÇ,±âµ,16,16,1,1,°³,¸Å¿ì Ä£,"4, ¿¹»ó°¡´",³ú¼öµ,1,94, ,¿¹,ºÎ¸ð-ÀÚ³,¿¹,¾Æ´, ,´Ù¸¥ ¹Ý·Áµ¿¹°,ÀÖÀ,1¸¶,1,1,¿¹,2¸¶,¾Æ´,5,4,4,5,5,5,5,5,5,5,5,4,4,5,4,5,3,4,3,5,4,3,4,3,4,3,3,3,2,3,4,3,1,3,3,4,5,5,4,4,5,5,2,3,4,5,5,2,4,5,4,5,5,4,5,1,5,5,5,5,5,5,5,5,5,5,4,°£º´À»,16,¿¹,4,2,2,3,4,5,5,5,3,4,3,5,1,46,4324,1,131,45,5,2,1,1,4,1,1,2,2,2,1,2,2,1,1,29.4488,14.0878,414.86880464,1,1,38,51,79,56,5.1707,23.3561,329.03606558,72.84378746,4,135,1,24,52
2019/12/21 11:58:05 ¿ÀÀü GMT,¿,¿©,°íµîÇÐ±,¹Ì,¾øÀ,È¥ÀÚ °ÅÁÖ,¹«±,1,1,2,7,°³,¸Å¿ì Ä£,"4, ¿¹»ó°¡´",±Þ¼º,2,59, ,¿¹,ÇüÁ¦/ÀÚ¸,¾Æ´,¾Æ´, ,"ºÎ¸ð;ÇüÁ¦, ÀÚ¸Å,³²¸Å",¾øÀ, ,1,1,¿¹,1¸¶,¿¹,5,4,4,3,4,5,4,5,5,1,1,1,1,2,1,2,1,4,1,1,4,1,3,1,3,1,1,3,1,2,1,3,1,1,1,3,3,2,2,1,5,4,5,1,2,1,1,1,1,1,1,1,1,3,4,1,4,1,4,2,4,5,2,1,1,1,3,0°³¿ùÈ,10,¿¹,1,1,1,3,3,2,4,3,4,2,3,4,1,26,1534,1,65,31,5,2,1,1,1,1,1,1,2,2,1,2,1,1,2,-5.55119999999999,-5.9122,32.81980464,3,2,34,20,25,43,1.1707,-7.6439,45.19226558,-6.92141253999998,2,68,1,17,22
2020/01/09 8:35:17 ¿ÀÈÄ GMT+,¿,¿©,°íµîÇÐ±,¹Ì,¾øÀ,È¥ÀÚ °ÅÁÖ,¹«±,4,7,1,1,°³,Á¶±Ý Ä£,"2, °©ÀÛ½º·",±Þ¼º,2,55, ,¾Æ´,ºÎ¸ð-ÀÚ³,¾Æ´,¾Æ´, ,Ä£±¸;´Ù¸¥ ¹Ý·Áµ¿¹°,ÀÖÀ,1¸¶,1,1,¿¹,2¸¶,¾Æ´,5,2,2,3,4,4,3,4,4,2,2,1,2,4,2,3,2,2,1,1,2,1,1,1,1,2,1,1,1,2,2,1,1,1,1,1,2,2,3,2,3,2,1,1,1,1,1,1,1,2,1,1,1,1,3,1,4,1,1,4,2,2,1,1,1,2,1,Áï½Ã,4,¿¹,2,1,1,3,2,1,4,4,4,1,3,3,1,18,990,1,48,29,4,2,2,1,1,1,1,1,2,1,1,2,1,1,1,-9.55119999999999,-13.9122,132.87820464,1,1,27,24,23,27,-5.8293,-3.6439,50.69466558,81.09838746,3,50,1,11,19
2019/12/26 4:24:07 ¿ÀÀü GMT+,¿,¿©,´ëÇÐ±³,¹Ì,¾øÀ,È¥ÀÚ °ÅÁÖ,¹«±,10,10,2,3,°³,¸Å¿ì Ä£,"2, °©ÀÛ½º·",±Þ¼º,2,80, ,¿¹,ºÎ¸ð-ÀÚ³,¾Æ´,¾Æ´, ,¾øÀ½,ÀÖÀ,2¸¶,1,1,¿¹,1¸¶,¾Æ´,5,5,5,5,5,5,5,5,5,2,4,2,2,2,4,3,3,4,3,3,3,2,4,2,2,2,3,4,3,2,2,2,4,4,4,4,4,4,4,3,4,4,5,4,4,3,3,2,5,3,3,2,4,3,5,1,5,2,4,3,4,4,2,2,2,4,4,´çÀÏºÎ,24,¿¹,4,4,3,2,4,1,3,2,3,4,3,3,1,44,3520,1,101,36,5,2,2,2,1,1,1,1,1,2,1,2,1,1,1,15.4488,12.0878,186.74200464,1,1,40,35,56,49,7.1707,7.3561,88.91906558,86.67798746,3,105,1,20,43
2019/12/27 7:36:47 ¿ÀÈÄ GMT+,¿,¿©,´ëÇÐ±³,¹Ì,¾øÀ,ÇÐ±âÁß¿£,¹«±,5,5,1,1,°³,¸Å¿ì Ä£,"2, °©ÀÛ½º·",±Þ¼º,2,92, ,¾Æ´,Ä£±¸,¿¹,¾Æ´, ,"ºÎ¸ð;ÇüÁ¦, ÀÚ¸Å,³²¸Å",¾øÀ, ,1,1,¿¹,1¸¶,¿¹,5,5,5,5,5,5,5,5,5,4,3,4,2,5,5,5,3,5,3,3,5,1,2,1,1,1,1,1,1,3,3,3,1,1,1,1,3,2,4,3,5,4,5,3,3,3,3,3,5,5,5,4,5,4,5,1,5,3,4,3,5,4,5,4,5,5,5,0°³¿ùÈ,7,¿¹,4,2,5,3,4,4,3,3,5,3,3,3,1,22,2024,1,118,42,5,2,2,2,1,1,1,1,2,1,1,2,2,1,2,27.4488,-9.9122,-272.07799536,2,2,40,47,71,51,7.1707,19.3561,-191.86153442,-71.07741254,2,122,1,19,48
2019/12/29 9:23:30 ¿ÀÈÄ GMT+,¿,¿©,´ëÇÐ±³,¹Ì,¾øÀ,È¥ÀÚ °ÅÁÖ,¹«±,10,12,2,3,°³,¸Å¿ì Ä£,"2, °©ÀÛ½º·",±Þ¼º,2,100, ,¿¹,ºÎ¸ð-ÀÚ³,¿¹,¾Æ´, ,Ä£±¸;´Ù¸¥ ¹Ý·Áµ¿¹°,ÀÖÀ,1¸¶,1,1,¿¹,1¸¶,¿¹,5,5,5,5,5,5,5,5,4,5,5,5,4,5,5,5,3,5,4,5,5,3,4,2,3,2,3,3,3,2,2,2,1,4,4,3,5,5,5,5,5,5,5,4,4,3,3,4,5,5,1,1,3,3,5,1,5,5,5,5,5,4,1,2,5,3,2,0°³¿ù,36,¿¹,4,3,2,5,3,4,2,4,3,2,3,3,1,41,4100,1,114,38,5,2,2,2,1,1,1,1,2,2,1,2,2,1,2,35.4488,9.0878,322.15160464,1,1,39,56,60,58,6.1707,28.3561,257.69456558,56.07808746,3,118,1,25,50
2020/01/17 11:50:00 ¿ÀÈÄ GMT,¿,¿©,°íµîÇÐ±,¹Ì,¾øÀ,¹Ý·Áµ¿¹°5,¹«±,2,12,2,15,°³,¸Å¿ì Ä£,"2, °©ÀÛ½º·",±Þ¼º,2,70, ,¿¹,ºÎ¸ð-ÀÚ³,¾Æ´,¾Æ´, ,¿Â¶óÀÎ Ä¿¹Â´ÏÆ¼,¾øÀ, ,1,1,¿¹,5¸¶,¿¹,5,5,2,5,5,5,5,4,3,3,2,3,1,3,3,1,1,2,4,3,5,2,3,1,3,2,2,3,2,2,3,3,1,3,3,3,5,4,3,3,3,3,1,1,1,1,1,1,3,4,3,5,3,1,5,1,2,4,3,5,4,3,2,2,2,2,1,´ç¿¬È÷,36,¿¹,4,4,4,4,3,5,4,4,3,3,3,5,2,36,2520,0,77,46,5,2,2,1,1,1,1,1,2,2,1,2,1,1,2,5.44880000000001,4.0878,22.27360464,1,2,35,31,42,39,2.1707,3.3561,13.71906558,8.87338745999999,3,81,1,16,33
2020/01/18 1:05:54 ¿ÀÈÄ GMT+,¿,¿©,´ëÇÐ±³,¹Ì,¾øÀ,È¥ÀÚ °ÅÁÖ,¹«±,0,4,2,10,°í¾,Á¶±Ý Ä£,"2, °©ÀÛ½º·",±Þ¼º,2,66, ,¿¹,ÇüÁ¦/ÀÚ¸,¾Æ´,¾Æ´, ,"ÇüÁ¦, ÀÚ¸Å,³²¸Å",ÀÖÀ,2¸¶,1,1,¿¹,4¸¶,¿¹,4,3,4,2,5,4,4,3,4,3,2,2,2,2,4,4,2,3,3,2,4,3,3,2,3,3,3,3,3,3,3,3,2,3,2,3,3,4,2,2,4,2,4,2,4,2,4,2,2,4,2,2,4,3,4,1,4,4,4,4,4,4,4,2,4,2,3,0°³¿ù,24,¿¹,3,2,2,4,2,2,2,2,2,3,3,3,1,42,2772,1,92,30,4,2,2,2,1,1,1,1,2,2,2,2,1,1,2,1.44880000000001,10.0878,14.6152046400001,3,1,30,33,50,45,-2.8293,5.3561,54.03126558,-28.54141254,3,95,1,16,42
2019/12/28 1:40:04 ¿ÀÈÄ GMT+,¿,¿©,´ëÇÐ±³,¹Ì,¾øÀ,È¥ÀÚ °ÅÁÖ,±âµ,9,9,1,1,°³,¸Å¿ì Ä£,"2, °©ÀÛ½º·",±Þ¼º,2,92, ,¿¹,ºÎ¸ð-ÀÚ³,¾Æ´,¾Æ´, ,¾øÀ½;´Ù¸¥ ¹Ý·Áµ¿¹°,ÀÖÀ,4¸¶,1,1,¿¹,1¸¶,¾Æ´,5,5,5,5,5,5,5,5,5,4,4,4,1,5,4,4,4,5,3,4,5,3,3,1,3,2,1,3,2,3,4,4,2,2,2,3,5,5,5,5,5,5,5,5,5,2,3,3,5,5,3,3,5,5,5,1,5,5,5,5,5,5,5,5,5,5,5,0°³¿ù,9,¾Æ´,2,2,2,2,2,3,2,3,3,4,3,4,1,38,3496,1,135,32,5,2,2,2,1,1,1,2,2,2,1,2,1,1,1,27.4488,6.0878,167.10280464,1,1,40,47,79,60,7.1707,19.3561,117.83606558,43.65378746,4,139,1,25,58
2020/01/18 12:11:37 ¿ÀÀü GMT,¿,¿©,´ëÇÐ¿ø,¹Ì,¾øÀ,È¥ÀÚ °ÅÁÖ,ºÒ±,14,15,2,2,°í¾,¸Å¿ì Ä£,"2, °©ÀÛ½º·",±Þ¼º,2,99, ,¿¹,ºÎ¸ð-ÀÚ³,¿¹,¿¹, ,Ä£±¸,¾øÀ, ,1,1,¿¹,1¸¶,¾Æ´,5,5,5,5,5,5,5,5,5,5,5,5,4,5,5,5,2,5,5,5,3,3,4,2,4,3,3,4,4,2,4,4,3,4,4,4,5,4,5,4,5,5,5,4,5,4,5,2,1,5,5,4,5,5,5,1,3,4,4,5,5,5,4,3,2,2,2,0°³¿ù,19,¿¹,2,2,1,4,3,2,2,3,2,3,3,3,1,52,5148,1,118,30,5,2,2,3,1,1,1,2,2,2,2,2,2,2,1,34.4488,20.0878,692.00060464,1,2,40,54,65,57,7.1707,26.3561,529.43606558,144.04358746,4,122,1,23,52
